Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
地理,本初子午線,国際子午線会議に日本から参加したのは誰ですか？,菊池大麓,5,,https://ja.wikipedia.org/wiki/本初子午線#歴史
地理,本初子午線,本初子午線の東の半球を何というか？,東半球,1,,https://ja.wikipedia.org/wiki/本初子午線
地理,本初子午線,アメリカ合衆国がグリニッジ子午線を本初子午線として公式に採用したのは何年ですか？,1912,5,,https://ja.wikipedia.org/wiki/本初子午線#歴史
地理,本初子午線,現在の国際的な本初子午線はIERS基準子午線ですか？,はい,4,,https://ja.wikipedia.org/wiki/本初子午線#国際本初子午線
地理,本初子午線,IERS基準子午線が策定される以前の国際的な本初子午線は何ですか？,グリニッジ子午線,4,,https://ja.wikipedia.org/wiki/本初子午線
地理,ジオパーク,ジオパークの活動は教育，ジオツーリズムとあと一つは何ですか？,保全,4,,https://ja.wikipedia.org/wiki/ジオパーク
地理,ジオパーク,2013年に日本ジオパーク功労者表彰をされたのは誰ですか？,岩松　暉,5,,https://ja.wikipedia.org/wiki/ジオパーク#日本ジオパーク功労者表彰
地理,ジオパーク,ジオパーク教育は，持続可能な社会や地球のあり方を考え，行動するための教育であるか？,はい,3,,https://ja.wikipedia.org/wiki/ジオパーク#ジオパーク教育・学習
地理,ジオパーク,世界ジオパークが国際連合教育科学文化機関（ユネスコ）の正式事業として認定されたのは何年ですか？,2015,5,,https://ja.wikipedia.org/wiki/ジオパーク#ジオパーク教育・学習
地理,ジオパーク,日本ジオパーク委員会の発足時，審査団体の中心となったのはどこですか？,産業技術総合研究所地質調査総合センター,5,,https://ja.wikipedia.org/wiki/ジオパーク#沿革
地理,ジオパーク,地域が「ジオパーク」と名乗るには，ジオパークネットワークに加盟するための審査および認定を受ける必要はない,いいえ,3,,https://ja.wikipedia.org/wiki/ジオパーク#認定
地理,ジオパーク,日本初の「世界ジオパーク」は洞爺湖有珠山ジオパーク，糸魚川ジオパークとあと一つはどこか？,島原半島ジオパーク,5,,https://ja.wikipedia.org/wiki/ジオパーク#沿革
地理,ジオパーク,日本にある世界ジオパークは，世界・日本それぞれの再審査・再認定を何年に1回受けますか？,4,4,,https://ja.wikipedia.org/wiki/ジオパーク#認定
地理,ジオパーク,世界ジオパークネットワークの審査を受けて同ネットワークへの加盟を認定されているジオパークを何といいますか？,世界ジオパーク,3,,https://ja.wikipedia.org/wiki/ジオパーク#認定
地理,ジオパーク,世界ジオパークネットワーク（GGN）設立は何年ですか？,2004,4,,https://ja.wikipedia.org/wiki/ジオパーク#沿革
地理,東京都,東京都はどこの国の首都ですか？,日本,1,,https://ja.wikipedia.org/wiki/東京都
地理,東京都,1999年4月から2012年10月まで13年あまり東京都知事を務めたのは誰ですか？,石原慎太郎,4,,https://ja.wikipedia.org/wiki/東京都#行政組織
地理,東京都,東京都を中心とした首都圏はニューヨーク都市圏などを上回り、世界最大の経済規模を有する都市圏であるか？,はい,4,,https://ja.wikipedia.org/wiki/東京都#都市、東京
地理,東京都,東京都の警察として警視庁がありますか？,はい,3,,https://ja.wikipedia.org/wiki/東京都#警察
地理,東京都,東京都の都心部には２つの環状線が存在する。都心環状線ともうひとつは何ですか？,中央環状線,3,,https://ja.wikipedia.org/wiki/東京都#道路
地理,東京都,東京都のシンボルマークは都の木であるいちょうの葉を象っていますか？,いいえ,4,,https://ja.wikipedia.org/wiki/東京都#シンボルマーク
地理,東京都,東京府と東京市が統合されて東京都が首都になったのは何年ですか？,1943,4,,https://ja.wikipedia.org/wiki/東京都#概要
地理,東京都,東京都の首長を何といいますか？,東京都知事,3,,https://ja.wikipedia.org/wiki/東京都#行政機関、首長
地理,東京都,世界自然遺産に登録され、特有の生態系を持つ小笠原諸島は東洋の何と呼ばれていますか？,ガラパゴス,4,,https://ja.wikipedia.org/wiki/東京都#地形・地質
地理,東京都,東京大空襲によって下町が焼失したのは何年ですか？,1945,3,,https://ja.wikipedia.org/wiki/東京都#歴史
地理,アンコール遺跡,アンコール遺跡群は現在のどこの国にありますか？,カンボジア王国,2,,https://ja.wikipedia.org/wiki/アンコール遺跡#概要
地理,アンコール遺跡,アンコール遺跡群がアユタヤ朝の侵入を度々受けその存在を侵され始め，アンコールワットを放棄した王は誰か？,ポニャー・ヤット王,5,,https://ja.wikipedia.org/wiki/アンコール遺跡#概要
地理,アンコール遺跡,アンコール遺跡の発掘・修復から観光開発まで一手に管理しているのはどこですか？,アプサラ機構（アンコール地域遺跡保護管理機構）,5,,https://ja.wikipedia.org/wiki/アンコール遺跡#管理団体
地理,アンコール遺跡,アンコール遺跡がユネスコの世界危機遺産に登録されたのは何年ですか？,1992,4,,https://ja.wikipedia.org/wiki/アンコール遺跡
地理,アンコール遺跡,アンコール遺跡が世界文化遺産に登録されたのは何年ですか？,2004,4,,https://ja.wikipedia.org/wiki/アンコール遺跡
地理,アンコール遺跡,アンコール・トムの大部分を築いたとされているのは誰か？,ジャヤーヴァルマン7世,5,,https://ja.wikipedia.org/wiki/アンコール遺跡#概要
地理,アンコール遺跡,アンコール遺跡群は現在のカンボジア王国の淵源となった何という王朝の首都ですか？,クメール王朝,4,,https://ja.wikipedia.org/wiki/アンコール遺跡#概要
地理,アンコール遺跡,アンコールに含まれる遺跡である像のテラスは何世紀末に作られたとされているか？,12,4,,https://ja.wikipedia.org/wiki/アンコール遺跡#構成
地理,アンコール遺跡,アンコールワットは，カンボジアのシェムリアップの北側に位置するクメール王朝時代の遺跡群ですか？,はい,4,,https://ja.wikipedia.org/wiki/アンコール遺跡
地理,アンコール遺跡,アンコールワットは何ヘクタールの広さがありますか？,400万,4,,https://ja.wikipedia.org/wiki/アンコール遺跡
地理,宇宙,宇宙にある元素の93.3%を占める元素は何ですか？,水素原子,4,,https://ja.wikipedia.org/wiki/宇宙#宇宙の成分
地理,宇宙,1929年に，すべての銀河が遠ざかっていることを発見し，さらに距離が遠い銀河ほど遠ざかる速度が早いことを見出したのは誰ですか？,エドウィン・ハッブル,5,,https://ja.wikipedia.org/wiki/宇宙#宇宙の膨張
地理,宇宙,1940年代に「ビッグバン・モデル」を物理学の理論へ纏め上げたのは誰ですか？,ジョージ・ガモフ,5,,https://ja.wikipedia.org/wiki/宇宙#宇宙の誕生
地理,宇宙,1メガパーセクは何万光年のことですか？,326,5,,https://ja.wikipedia.org/wiki/宇宙#宇宙の誕生
地理,宇宙,アルベルト・アインシュタインが一般相対性理論を発表したのは何年ですか？,1915,4,,https://ja.wikipedia.org/wiki/宇宙#宇宙の膨張
地理,宇宙,ビッグバン理論では，宇宙の始まりとされる大爆発のことを何というか？,ビッグバン,1,,https://ja.wikipedia.org/wiki/宇宙#宇宙の誕生
地理,宇宙,銀河ウォールや銀河フィラメントの周囲には銀河がほとんど存在しないような空虚な大空間が広がっている．この空間を何というか？,超空洞（ボイド）,5,,https://ja.wikipedia.org/wiki/宇宙#宇宙の階層構造
地理,宇宙,ヘラクレス座かんむり座グレートウォールは，今までに観測された中で最も大きな宇宙の大規模構造ですか？,はい,5,,https://ja.wikipedia.org/wiki/宇宙#解説
地理,宇宙,静止衛星軌道上の宇宙基地と地上を結ぶケーブル上を大福する乗り物を何というか？,宇宙エレベータ,4,,https://ja.wikipedia.org/wiki/宇宙#宇宙開発
地理,宇宙,他の惑星を地球化するプロジェクトを何というか？,テラフォーミング,5,,https://ja.wikipedia.org/wiki/宇宙#宇宙開発
地理,地震,地震に対して，地殻が非常にゆっくりとずれ動く現象を何と呼ぶか？,地殻変動,4,,https://ja.wikipedia.org/wiki/地震#概要
地理,地震,地下で断層が動いた時，最初に動いた点を何というか？,震源,3,,https://ja.wikipedia.org/wiki/地震#概要
地理,地震,東北地方太平洋沖地震（東日本大震災）は何年に発生しましたか？,2011年,1,,https://ja.wikipedia.org/wiki/地震#過去に発生した地震
地理,地震,兵庫県南部地震（阪神・淡路大震災）は，建築基準法の見直しに大きな影響を与えましたか？,はい,2,,https://ja.wikipedia.org/wiki/地震#過去に発生した地震
地理,地震,人類史上，死者が最も多かった華県地震はどこの国で発生しましたか？,中国,3,,https://ja.wikipedia.org/wiki/地震#過去に発生した地震
地理,地震,災害に備える「防災」に対して災害を軽減することを何というか？,減災,4,,https://ja.wikipedia.org/wiki/地震#地震による災害
地理,地震,本震に対して，その前に起こるものを前震，その後に起こるものを何というか？,余震,3,,https://ja.wikipedia.org/wiki/地震#自身活動
地理,地震,地震を対象とした学問を何というか？,地震学,2,,https://ja.wikipedia.org/wiki/地震
地理,地震,スラブ内地震の別名は何というか？,深発地震,5,,https://ja.wikipedia.org/wiki/地震#海洋プレート内地震
地理,地震,20世紀に入って，地球の核（コア）を発見したのは誰ですか？,リチャード・ディクソン・オールダム,5,,https://ja.wikipedia.org/wiki/地震#科学的探求
地理,動物園,生きた動物を飼育・研究し，一般に公開する施設を何というか？,動物園,2,,https://ja.wikipedia.org/wiki/動物園
地理,動物園,動物園において，動物を折の中に閉じ込めるのではなく，野生の整体のままに観察できるやり方を何というか？,ハーゲンベック方式,4,,https://ja.wikipedia.org/wiki/動物園#歴史
地理,動物園,1907年，動物を野生のままに展示するような動物園を作ったドイツの動物商は誰か？,カール・ハーゲンベック,5,,https://ja.wikipedia.org/wiki/動物園#歴史
地理,動物園,一般公開された動物園として最も古いのはどこですか？,パリ動物園,5,,https://ja.wikipedia.org/wiki/動物園#歴史
地理,動物園,日本において動物園は博物館の一種とされていますか？,はい,3,,https://ja.wikipedia.org/wiki/動物園#各国の動物園
地理,動物園,アメリカ最初の動物園と称されているフィラデルフィア動物園は何年にできましたか？,1865,4,,https://ja.wikipedia.org/wiki/動物園#各国の動物園
地理,動物園,国内外の動物園と連携して動物の所有権を移動させることなく累代繁殖を行うための制度を何というか？,ブリーディングローン,4,,https://ja.wikipedia.org/wiki/動物園#動物園の現況
地理,動物園,種ごとに血統管理を伴う繁殖計画を策定する制度を何というか？,種別調整者,4,,https://ja.wikipedia.org/wiki/動物園#動物園の現況
地理,動物園,その動物の特技や特徴などの能力を，自然に誘発させて観賞者に見せるように工夫した展示を何というか？,行動展示,4,,https://ja.wikipedia.org/wiki/動物園#動物園の展示方法
地理,動物園,一般に陸上の動物を中心として扱う動物園に対して，水中の動物を中心として扱うものは特に何と言われるか？,水族館,2,,https://ja.wikipedia.org/wiki/動物園
地理,戦時猛獣処分,戦争時において動物園の猛獣が逃亡して被害を及ぼすのを未然に防止する目的で，殺処分することを何というか？,戦時猛獣処分,4,,https://ja.wikipedia.org/wiki/戦時猛獣処分
地理,戦時猛獣処分,太平洋戦争が迫り，陸軍東部軍司令部から上野動物園に対し，非常時における対策要綱を提出するように指示が出たのは何年か？,1941,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分#経緯
地理,戦時猛獣処分,1943年8月16日に全猛獣の殺処分命令を下した東京都長官は誰か？,太達茂雄,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分#経緯
地理,戦時猛獣処分,戦時猛獣処分において，殺処分せず1943年12月にライオン2頭を蒙古自治邦政府下の張家口動物園へ寄贈した動物園はどこか？,東山動物園,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分#経緯
地理,戦時猛獣処分,ロンドン動物園では，開戦からまもなく，毒ヘビとサソリなどの無脊椎動物を逃亡予防のために殺処分しましたか？,はい,4,,https://ja.wikipedia.org/wiki/戦時猛獣処分#イギリスでの実施状況
地理,戦時猛獣処分,爆撃により動物園から猛獣が脱走するという筋立ての映画でドイツで1943年公開された『パニック』の監督は誰か？,ハリー・ピール,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分#ドイツにおける戦時猛獣処分
地理,戦時猛獣処分,第二次世界大戦中に戦時猛獣処分が行われた国は日本とイギリスともう1つはどこですか？,ドイツ,4,,https://ja.wikipedia.org/wiki/戦時猛獣処分
地理,戦時猛獣処分,昭和18年8月29日，猛獣処分となった上野動物園のゾウの名前は何ですか？,ジョン,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分
地理,戦時猛獣処分,1939年5月に開かれた，研究課題のひとつとして空襲時の猛獣脱走対策が挙げられた会議は何ですか？,全国動物園長会議,5,,https://ja.wikipedia.org/wiki/戦時猛獣処分#経緯
地理,戦時猛獣処分,上野動物園で逃亡予防を目的とした戦時猛獣処分が実際に始まったのは何年ですか？,1943,4,,https://ja.wikipedia.org/wiki/戦時猛獣処分#経緯
地理,トルコ,トルコの首都はどこですか？,アンカラ,4,,https://ja.wikipedia.org/wiki/トルコ
地理,トルコ,トルコの漢字表記は土耳古ですか？,はい,3,,https://ja.wikipedia.org/wiki/トルコ#国名
地理,トルコ,トルコで憲法改正により大統領は国民投票により選出されることとなり，また任期も7年から5年へと短縮されたのは何年かです？,2007,5,,https://ja.wikipedia.org/wiki/トルコ#政治
地理,トルコ,トルコはヘルシンキ宣言に署名していますか？,はい,4,,https://ja.wikipedia.org/wiki/トルコ#トルコとヨーロッパ
地理,トルコ,1999年，トルコのマルマラ海沿岸の人口密集地域が大規模な被害を受けた地震は何といいますか？,イズミット地震,5,,https://ja.wikipedia.org/wiki/トルコ#地理
地理,トルコ,トルコはケッペンの気候区分ではどこに属しますか？,地中海性気候,3,,https://ja.wikipedia.org/wiki/トルコ#気候
地理,トルコ,トルコの公用語は何ですか？,トルコ語,3,,https://ja.wikipedia.org/wiki/トルコ#言語
地理,トルコ,2006年にノーベル文学賞を受賞したトルコの小説家は誰ですか？,オルハン・パムク,5,,https://ja.wikipedia.org/wiki/トルコ#文学
地理,トルコ,トルコにおいて国民的なスポーツは何か？,サッカー,4,,https://ja.wikipedia.org/wiki/トルコ#スポーツ
地理,トルコ,トルコ共和国の前身は何ですか？,オスマン帝国,3,,https://ja.wikipedia.org/wiki/トルコ#国名
