テーマ（カテゴリ）,トピック（タイトル）,"質問(What, Who, Where, Whose, How, Yes/No)",解答,難易度（出題者）,難易度（解答者）,URL（元文書）
社会,日本,日本の最西端はどこですか？,与那国島,2,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,日本,日本には亜寒帯がありますか？,はい,3,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,日本,江戸幕府を開いたのは誰ですか？,徳川家康,2,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,日本,日本の最高峰はどこですか？,富士山,1,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,個人番号,個人番号の通称は？,マイナンバー,2,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号は何桁ですか？,12,3,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号は何という法律に規定されていますか？,行政手続における特定の個人を識別するための番号の利用等に関する法律,5,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号の指定が始まったのは何年ですか？,2015年,3,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号カードはICカードですか？,はい,2,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号の指定を受けるのは誰ですか？,日本の市区町村に住民票がある住民（個人）全員,4,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,日本の教育,日本の教育を所管しているのはどこですか？,文部科学省,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本で初めて教育制度が作られたのは何年ですか？,701年,5,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,近代的な学校制度が確立したのは何時代ですか？,明治時代,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本の義務教育は何年間ですか？,9年間,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本は母語による高等教育を実現していますか？,はい,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本の教育は何に則っていますか？,教育基本法,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の貨幣史,日本銀行が創設されたのは何年ですか？,1882年,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,山田羽書が発行されたのはどこですか？,伊勢国,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,甲州金と呼ばれた金貨を流通させたのは誰ですか？,武田信玄,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,ドッジ・ラインにより、円は1ドル何円に固定されましたか？,360円,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,1946年の金融緊急措置令で行われたのは何ですか？,新円切替,5,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,仮想通貨は強制通用力を持っていますか？,いいえ,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,パスポート,パスポートはどのような身分証明書ですか？,国際的に通用する全世界共通の身分証明書,4,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,ICパスポートの国際規格が策定されたのはいつですか？,2005年,4,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,パスポートは国際移動する場合に原則必要なものですか？,はい,2,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,邦人保護費に何円充てられますか？,10000円,4,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,パスポートは誰が交付しますか？,政府,2,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,パスポートは誰が交付しますか？,政府に相当する公的機関,3,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,e-道という自動出入境ゲートがあるのはどこですか？,香港,5,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,日本の運転免許,どこの管理監督を受ける国家資格ですか？,国家公安委員会,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,どこの管理監督を受ける国家資格ですか？,警察庁交通局,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,ゴールドの免許証は何年間有効ですか？,5年間,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,自動車取締令が交付されたのは何年ですか？,1919年,5,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,外国で取得した運転免許証は日本の運転免許に切り替えることができますか？,はい,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,初心運転者期間は取得後何年間ですか？,1年間,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,運転免許はその全部又は区分の一部を取消し申請することができますか？,はい,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,国際連合,いつ設立されましたか？,1945年,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,設立時は、何カ国の加盟国で設立されましたか？,51,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の主たる活動目的は何ですか？,国際平和,1,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の主たる活動目的は何ですか？,安全保障,2,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の主たる活動目的は何ですか？,経済・社会・文化などに関する国際協力,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,2017年5月現在の加盟国は何カ国ですか？,193,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,アメリカ合衆国,アメリカ合衆国はいくつの州および連邦区から成りますか？,50,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカ合衆国の総面積は何万平方キロメートルですか？,985,4,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカ合衆国の人口は何億人ですか？,3,3,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカ独立宣言はいつ発布されましたか？,1776年,4,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカ合衆国は国際連合安全保障理事会常任理事国ですか？,はい,1,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,「連合の名称を『アメリカ合衆国』と定める」と規定されたのはいつですか？,177７年,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,誰によって奴隷解放宣言が発表されましたか？,エイブラハム・リンカーン,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,欧州連合,欧州連合は何という条約により設立された地域統合体ですか？,マーストリヒト条約,4,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,何カ国が加盟していますか？,28カ国,4,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州石炭鉄鋼共同体はいつ設立されましたか？,7/23/52,5,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州経済共同体（英: EEC）と欧州原子力共同体（英: Euratom）はいつ発足しましたか？,1958年,5,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州諸共同体はいつできましたか？,１９６７年,4,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,１９７３年１月１日までは何カ国が欧州諸共同体に加盟していましたか？,6,5,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,イギリス,グレートブリテン及び北アイルランド連合王国を構成する４つの国はなんですか？,イングランド,3,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,グレートブリテン及び北アイルランド連合王国を構成する４つの国はなんですか？,ウェールズ,3,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,グレートブリテン及び北アイルランド連合王国を構成する４つの国はなんですか？,スコットランド,3,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,グレートブリテン及び北アイルランド連合王国を構成する４つの国はなんですか？,北アイルランド,3,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,グレートブリテン島とアイルランド島の間に位置する海は何と言いますか？,アイリッシュ海,4,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの政体は、議員内閣制を踏まえた立憲君主制ですか？,はい,3,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの議会は二院制ですか？,はい,2,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,1952年2月６日以来誰が君主ですか？,エリザベス２世,2,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,中国,中華人民共和国の人口は何億以上ですか？,13,1,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,中華人民共和国の人口は世界一ですか？,はい,1,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,中華人民共和国はいつ建国されましたか？,10/1/41,4,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,中華人民共和国は安全保障理事会常任理事国ですか？,はい,2,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,２０１７年７月現在中華人民共和国の世界遺産は何件ですか？,５２件,5,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,毛沢東時代の中華人民共和国は、社会の何主義化を推進しましたか？,共産主義,3,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,中国,1980年代以来の経済の改革開放の進展により、何と呼ばれるほど経済が急成長しましたか？,世界の工場,2,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,個人番号,個人番号の通称は何ですか？,マイナンバー,1,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,個人番号カード交付が始まり、従来の住民基本台帳カードの新規発行は行われなくなりましたか？,はい,3,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,氏名、住所、性別、生年月日、これらを何と呼びますか？,基本４情報,4,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,いつ日本国内の全住民に対する個人番号の指定が始まりましたか？,10/5/15,4,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,行政手続きにおける個人番号の利用が開始されたのはいつですか？,1/1/16,4,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,個人番号,２０１６年１月時点では、個人番号の利用範囲は、特定の範囲に限定されていますか？,はい,2,,https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E7%95%AA%E5%8F%B7
社会,日本の教育,日本における「教育」は、単に学校教育という狭い意味に留まらず、家庭教育や社会教育（生涯教育）などもその意味に含まれますか？,はい,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,教育が日本で用いられるようになったのはいつからですか？,江戸時代,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本の教育はどこが所轄していますか？,文部科学省,1,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本で初めて教育制度が作られたのはいつですか？,701年,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,初等教育から中等教育・高等教育までの近代的な学校制度が確立するのはいつですか？,明治時代,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の教育,日本の対GDP比における教育機関に対する公的支出は3.6%で、データの存在するOECD加盟国（28か国）中最も低いですか？,はい,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%95%99%E8%82%B2
社会,日本の貨幣史,貨幣の素材そのものに価値のある貨幣をなんと呼びますか？,商品貨幣,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,貨幣の素材そのものに価値のある貨幣をなんと呼びますか？,物品貨幣,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,日本で作られた金属貨幣で、現存する最古の銀貨は何ですか？,無文銀銭,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,日本で作られた金属貨幣で、現存する最古の銅貨は何ですか？,和同開珎,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,日本で作られた金属貨幣で、現存する最古の金貨は何ですか？,開基勝宝,4,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,日本の貨幣史,現代の日本では、日本政府ではなく何が貨幣を発行していますか？,日本銀行,2,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E8%B2%A8%E5%B9%A3%E5%8F%B2
社会,パスポート,パスポートは「国際的に通用する全世界共通の身分証明書」として、出国者の属する政府によって発行される渡航文書ですか？,はい,3,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,渡航予定国の政府による入国推薦状を何と言いますか？,査証（ビザ）,3,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,パスポートに関する標準文書は、何において標準化制定されていますか。,ICAO（国際民間航空機関）,5,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,通常、パスポートは出国者の属する政府によって発行されますか？,はい,2,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,世界において、日本国旅券は盗難の被害に遭いやすいですか？,はい,3,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,ICAOは、パスポートの偽造防止・利用者の利便性向上のため、ICパスポート導入を検討し、いつ国際規格を策定しましたか？,2005年,5,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,パスポート,2018年では、パスポート自由度ランキングの一位はどこですか？,日本,4,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%88
社会,日本の運転免許,日本の運転免許は、日本国内において、何の運転を認める免許ですか？,自動車,1,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,日本の運転免許は、日本国内において、何の運転を認める免許ですか？,原動機付自転車,1,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,日本の制度では、どこの管理監督を受ける国家資格ですか？,国家公安委員会・警察庁交通局,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,技能試験が課されない免許は何ですか？,小特免許,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,技能試験が課されない免許は何ですか？,原付免許,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,準中型・普通・大型自動二輪・普通自動二輪・原付の各免許について、（一部の例外を除き）取得後1年間は初心運転者期間とされていますか,はい,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
社会,日本の運転免許,運転免許失効から6ヶ月以内であれば、学科試験・技能試験が免除され、更新時と同じ講習を受け適性試験を通過すれば免許を得ることができますか？,はい,3,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%8B%E8%BB%A2%E5%85%8D%E8%A8%B1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
